item_no,description,movement_class,value_class
MNT0001,Hydraulic Pump Assembly 250 GPM,A,A
MNT0002,Conveyor Belt Splice Kit Heavy Duty 1200mm,A,A
MNT0003,Gearbox Coupling Fluid Drive 500HP,A,A
MNT0004,Boiler Tube Bundle Replacement Set,A,A
MNT0005,Industrial Bearing SKF 6320-2Z,A,A
MNT0006,V-Belt Drive Set B Section 2500mm Pk/5,A,B
MNT0007,Mechanical Seal Cartridge 75mm Shaft,A,B
MNT0008,Air Filter Element Compressor 250CFM,A,B
MNT0009,Lubricant Synthetic Gear Oil ISO 320 20L,A,B
MNT0010,Gasket Sheet Non-Asbestos 1500x2000x3mm,A,B
MNT0011,Cable Tie Nylon UV Resistant 300mm Pk/1000,A,C
MNT0012,Grease Nipple Straight M8 Pk/50,A,C
MNT0013,Thread Seal Tape PTFE 12mm Roll Pk/20,A,C
MNT0014,Split Pin Zinc Plated Assorted Kit,A,C
MNT0015,Shop Rag Industrial Cotton 5kg Bale,A,C
MNT0016,Variable Frequency Drive 75kW ABB ACS580,B,A
MNT0017,Pneumatic Cylinder ISO 15552 200mm Bore,B,A
MNT0018,Heat Exchanger Plate Pack Titanium,B,A
MNT0019,Motor Starter Soft Start 55kW,B,A
MNT0020,Vibration Sensor Accelerometer ICP 100mV/g,B,A
MNT0021,Solenoid Valve 2-Way Brass DN25 24VDC,B,B
MNT0022,Pressure Gauge Glycerine Filled 0-16bar DN100,B,B
MNT0023,Chain Sprocket Set 16B-2 Z19,B,B
MNT0024,Shaft Collar Clamping 80mm Stainless,B,B
MNT0025,Expansion Joint Rubber Flanged DN150,B,B
MNT0026,Flat Washer Zinc M12 Pk/200,B,C
MNT0027,Hex Bolt Grade 8.8 M16x60 Pk/50,B,C
MNT0028,O-Ring Nitrile Assorted Kit 400pcs,B,C
MNT0029,Hose Clamp Stainless 40-60mm Pk/25,B,C
MNT0030,Electrical Tape PVC Black 19mm Roll Pk/10,B,C
MNT0031,Turbine Blade Set Stage 1 Alloy Steel,C,A
MNT0032,Control Valve Globe DN200 Pneumatic Actuated,C,A
MNT0033,Transformer Bushing 132kV Porcelain,C,A
MNT0034,Generator Exciter Brush Holder Assembly,C,A
MNT0035,Boiler Safety Valve Spring Loaded DN80,C,A
MNT0036,Fire Extinguisher CO2 5kg Refill Service,C,B
MNT0037,Alignment Tool Laser Shaft 2-Axis,C,B
MNT0038,Insulation Blanket Ceramic Fiber 25mm 1260C,C,B
MNT0039,Sight Glass Borosilicate DN50 Flanged,C,B
MNT0040,Level Switch Float Type Stainless DN40,C,B
MNT0041,Drain Plug Magnetic M20 Pk/5,C,C
MNT0042,Name Plate Stainless Blank 100x50mm Pk/20,C,C
MNT0043,Padlock Safety Lockout Red Keyed Differ,C,C
MNT0044,Grease Gun Lever Type 500cc Manual,C,C
MNT0045,Inspection Mirror Telescopic 50mm Round,C,C
